hotel_name,n_comment,rank_in_country,url
費博里斯酒店,"1,826 則評論","超值：第 43，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d588475-Reviews-Febri_s_Hotel_Spa-Kuta_Kuta_District_Bali.html
瑞士貝林雷根酒店,"1,356 則評論","超值：第 44，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608487-d5287480-Reviews-Swiss_Belinn_Legian-Legian_Kuta_District_Bali.html
Grand Tjokro Bandung,"1,436 則評論","超值：第 45，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d9696184-Reviews-Grand_Tjokro_Bandung-Bandung_West_Java_Java.html
馬嘉尼溫泉飯店,"1,607 則評論","超值：第 46，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608487-d3319080-Reviews-The_Magani_Hotel_and_Spa-Legian_Kuta_District_Bali.html
諾富特雅加達加查馬達酒店,"1,144 則評論","超值：第 47，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294229-d3588418-Reviews-Hotel_Novotel_Jakarta_Gajah_Mada-Jakarta_Java.html
奧薩戴酒店,"1,268 則評論","超值：第 48，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608487-d3746546-Reviews-Ossotel-Legian_Kuta_District_Bali.html
Regata hotel,"1,132 則評論","超值：第 49，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d10229267-Reviews-Regata_hotel-Bandung_West_Java_Java.html
格羅夫套房酒店,626 則評論,"超值：第 50，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294229-d6538590-Reviews-The_Grove_Suites-Jakarta_Java.html
瓜瑪雅塔樓酒店,450 則評論,"超值：第 51，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297712-d1045459-Reviews-Gumaya_Tower_Hotel_Semarang-Semarang_Central_Java_Java.html
凱越攝政酒店,735 則評論,"超值：第 52，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d307171-Reviews-Aryaduta_Bandung-Bandung_West_Java_Java.html
阿亞杜塔力寶村酒店,374 則評論,"超值：第 53，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g1493703-d1633307-Reviews-Aryaduta_Lippo_Village-Tangerang_Banten_Province_Java.html
帕提拉度假村,955 則評論,"超值：第 54，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d307566-Reviews-The_Patra_Bali_Resort_Villas-Kuta_Kuta_District_Bali.html
阿斯頓皇府大酒店,767 則評論,"超值：第 55，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297725-d1635140-Reviews-Grand_Aston_Cityhall_Hotel_Serviced_Residences-Medan_North_Sumatra_Sumatra.html
珀涅羅珀海灘風景飯店,623 則評論,"超值：第 56，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297700-d1464184-Reviews-Peneeda_View_Beach_Hotel-Sanur_Denpasar_Bali.html
棉蘭瑞士貝爾灣景酒店,818 則評論,"超值：第 57，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297725-d1446654-Reviews-Grand_Swiss_Belhotel_Medan-Medan_North_Sumatra_Sumatra.html
雅加達艾麗雅度塔酒店,470 則評論,"超值：第 58，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294229-d307133-Reviews-Aryaduta_Jakarta-Jakarta_Java.html
泗水JW 萬豪酒店,928 則評論,"超值：第 59，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297715-d307082-Reviews-JW_Marriott_Hotel_Surabaya-Surabaya_East_Java_Java.html
帕帕達亞酒店,541 則評論,"超值：第 60，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d307625-Reviews-The_Papandayan-Bandung_West_Java_Java.html
Crowne Plaza Bandung,429 則評論,"超值：第 61，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d7398285-Reviews-Crowne_Plaza_Bandung-Bandung_West_Java_Java.html
優美田邊別墅度假村,565 則評論,"超值：第 62，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g3932211-d624043-Reviews-Bebek_Tepi_Sawah_Villas_Spa-Peliatan_Ubud_Bali.html
巴厘瑞士格蘭德酒店,377 則評論,"超值：第 63，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297698-d306731-Reviews-The_Grand_Bali_Nusa_Dua-Nusa_Dua_Nusa_Dua_Peninsula_Bali.html
Ascott Waterplace Surabaya,254 則評論,"超值：第 64，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297715-d7645174-Reviews-Ascott_Waterplace_Surabaya-Surabaya_East_Java_Java.html
泗水西普拉世界酒店,411 則評論,"超值：第 65，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297715-d6883351-Reviews-Hotel_Ciputra_World_Surabaya-Surabaya_East_Java_Java.html
